Event,Altname,Lowest estimate,Highest estimate,Geometric mean estimate,Location,Start,End,Duration,"Notes, see also"
World War II,World War II,"70,000,000[citation needed]","118,357,000","91,021,920",Worldwide,1939,1945,6 years and 1 day,See also: World War II casualties.
Mongol conquests,Mongol conquests,"30,000,000","57,000,000[excessive citations]","41,352,146",Eurasia,1206,1405,199 years,"See also: Mongol Empire, Destruction under the Mongol Empire, Mongol conquest of the Khwarazmian Empire"
Taiping Rebellion,Taiping Rebellion,"20,000,000[citation needed]","40,000,000","28,284,271",China,1850,1864,14 years,"A civil war in China. See also: Qing dynasty, Taiping Heavenly Kingdom"
European colonization of the Americas,Euro. col. of Americas,"8,400,000","80,000,000","25,922,963",Americas,1492,1691,199 years,"Death toll estimates vary due to lack of consensus as to the demographic size of the native population pre-Columbus, which might never be accurately determined. The 90% death rate was mainly caused by disease. Vast depopulation contributed to Little Ice Age."
Transition from Ming to Qing,Ming to Qing transition,"25,000,000","25,000,000","25,000,000",China,1618,1683,65 years,See also: Qing dynasty
Second Sino-Japanese War,2nd Sino-Japanese War,"18,000,000","22,000,000","19,899,748",China,1937,1945,"8 years, 1 month, 3 weeks and 5 days",
World War I,World War I,"15,000,000","22,000,000+","18,165,902",Worldwide,1914,1918,"4 years, 3 months, 1 week",Military conflict lasting from 1914 to 1918 between two opposing alliances – the Entente and the Central Powers. World War I casualties
An Lushan Rebellion,An Lushan Rebellion,"13,000,000","13,000,000","13,000,000",China,755,763,8 years,A civil war in Tang China. Also known as the An–Shi rebellion.
Dungan Revolt,Dungan Revolt,"10,000,000[citation needed]","10,000,000[citation needed]","10,000,000",China,1862,1877,15 years,Civil war in China. See also: Qing dynasty
Chinese Civil War,Chinese Civil War,"8,000,000","11,692,000","9,671,401",China,1927,1949,14 years,Major civil war in China that led to the foundation of a Communist State
Russian Civil War,Russian Civil War,"5,000,000[citation needed]","9,000,000","6,708,204",Russia,1917,1921,5 years,"See also: Russian Revolution, List of civil wars"
